tetrad_id,country,easting,northing
HP40Q,B,447000,1201000
HP40R,B,447000,1203000
HP40S,B,447000,1205000
HP40V,B,449000,1201000
HP40W,B,449000,1203000
HP40X,B,449000,1205000
HP40Y,B,449000,1207000
HP50A,B,451000,1201000
HP50B,B,451000,1203000
HP50C,B,451000,1205000
HP50D,B,451000,1207000
HP50F,B,453000,1201000
HP50G,B,453000,1203000
HP50H,B,453000,1205000
HP50I,B,453000,1207000
HP50K,B,455000,1201000
HP50L,B,455000,1203000
HP50M,B,455000,1205000
HP50Q,B,457000,1201000
HP50R,B,457000,1203000
HP50S,B,457000,1205000
HP50T,B,457000,1207000
HP50U,B,457000,1209000
HP51Q,B,457000,1211000
HP51R,B,457000,1213000
HP51S,B,457000,1215000
HP50V,B,459000,1201000
HP50W,B,459000,1203000
HP50X,B,459000,1205000
HP50Y,B,459000,1207000
HP50Z,B,459000,1209000
HP51V,B,459000,1211000
HP51W,B,459000,1213000
HP51X,B,459000,1215000
HP51Y,B,459000,1217000
HP51Z,B,459000,1219000
HP60A,B,461000,1201000
HP60B,B,461000,1203000
HP60C,B,461000,1205000
HP60D,B,461000,1207000
HP60E,B,461000,1209000
HP61A,B,461000,1211000
HP61B,B,461000,1213000
HP61C,B,461000,1215000
HP61D,B,461000,1217000
HP61E,B,461000,1219000
HP62A,B,461000,1221000
HP60F,B,463000,1201000
HP60G,B,463000,1203000
HP60H,B,463000,1205000
HP60I,B,463000,1207000
HP60J,B,463000,1209000
HP61F,B,463000,1211000
HP61G,B,463000,1213000
HP61H,B,463000,1215000
HP61I,B,463000,1217000
HP61J,B,463000,1219000
HP60L,B,465000,1203000
HP60M,B,465000,1205000
HP60N,B,465000,1207000
HP60P,B,465000,1209000
HP61K,B,465000,1211000
HP61L,B,465000,1213000
HP61M,B,465000,1215000
HP61N,B,465000,1217000
HP60T,B,467000,1207000
HP60U,B,467000,1209000
HP61Q,B,467000,1211000
HP61R,B,467000,1213000
HP61S,B,467000,1215000
HP61T,B,467000,1217000
HT93J,B,393000,1139000
HT94F,B,393000,1141000
HT93N,B,395000,1137000
HT93P,B,395000,1139000
HT94K,B,395000,1141000
HT93T,B,397000,1137000
HT93U,B,397000,1139000
HT94Q,B,397000,1141000
HU06X,B,409000,1165000
HU16C,B,411000,1165000
HU16F,B,413000,1161000
HU15P,B,415000,1159000
HU16K,B,415000,1161000
HU16L,B,415000,1163000
HU14U,B,417000,1149000
HU15Q,B,417000,1151000
HU15R,B,417000,1153000
HU15S,B,417000,1155000
HU15T,B,417000,1157000
