tenkm,easting,northing
HP00,405000,1205000
HP01,405000,1215000
HP02,405000,1225000
HP03,405000,1235000
HP04,405000,1245000
HP05,405000,1255000
HP06,405000,1265000
HP07,405000,1275000
HP08,405000,1285000
HP09,405000,1295000
HP10,415000,1205000
HP11,415000,1215000
HP12,415000,1225000
HP13,415000,1235000
HP14,415000,1245000
HP15,415000,1255000
HP16,415000,1265000
HP17,415000,1275000
HP18,415000,1285000
HP19,415000,1295000
HP20,425000,1205000
HP21,425000,1215000
HP22,425000,1225000
HP23,425000,1235000
HP24,425000,1245000
HP25,425000,1255000
HP26,425000,1265000
HP27,425000,1275000
HP28,425000,1285000
HP29,425000,1295000
HP30,435000,1205000
HP31,435000,1215000
HP32,435000,1225000
HP33,435000,1235000
HP34,435000,1245000
HP35,435000,1255000
HP36,435000,1265000
HP37,435000,1275000
HP38,435000,1285000
HP39,435000,1295000
HP40,445000,1205000
HP41,445000,1215000
HP42,445000,1225000
HP43,445000,1235000
HP44,445000,1245000
HP45,445000,1255000
HP46,445000,1265000
HP47,445000,1275000
HP48,445000,1285000
HP49,445000,1295000
HP50,455000,1205000
HP51,455000,1215000
HP52,455000,1225000
HP53,455000,1235000
HP54,455000,1245000
HP55,455000,1255000
HP56,455000,1265000
HP57,455000,1275000
HP58,455000,1285000
HP59,455000,1295000
HP60,465000,1205000
HP61,465000,1215000
HP62,465000,1225000
HP63,465000,1235000
HP64,465000,1245000
HP65,465000,1255000
HP66,465000,1265000
HP67,465000,1275000
HP68,465000,1285000
HP69,465000,1295000
HP70,475000,1205000
HP71,475000,1215000
HP72,475000,1225000
HP73,475000,1235000
HP74,475000,1245000
HP75,475000,1255000
HP76,475000,1265000
HP77,475000,1275000
HP78,475000,1285000
HP79,475000,1295000
HP80,485000,1205000
HP81,485000,1215000
HP82,485000,1225000
HP83,485000,1235000
HP84,485000,1245000
HP85,485000,1255000
HP86,485000,1265000
HP87,485000,1275000
HP88,485000,1285000
HP89,485000,1295000
HP90,495000,1205000
HP91,495000,1215000
HP92,495000,1225000
HP93,495000,1235000
HP94,495000,1245000
HP95,495000,1255000
HP96,495000,1265000
HP97,495000,1275000
HP98,495000,1285000
HP99,495000,1295000
HT80,385000,1105000
HT81,385000,1115000
HT82,385000,1125000
HT83,385000,1135000
HT84,385000,1145000
HT85,385000,1155000
HT86,385000,1165000
HT87,385000,1175000
HT88,385000,1185000
HT89,385000,1195000
HT90,395000,1105000
HT91,395000,1115000
HT92,395000,1125000
HT93,395000,1135000
HT94,395000,1145000
HT95,395000,1155000
HT96,395000,1165000
HT97,395000,1175000
HT98,395000,1185000
HT99,395000,1195000
HU00,405000,1105000
HU01,405000,1115000
HU02,405000,1125000
HU03,405000,1135000
HU04,405000,1145000
HU05,405000,1155000
HU06,405000,1165000
HU07,405000,1175000
HU08,405000,1185000
HU09,405000,1195000
HU10,415000,1105000
HU11,415000,1115000
HU12,415000,1125000
HU13,415000,1135000
HU14,415000,1145000
HU15,415000,1155000
HU16,415000,1165000
HU17,415000,1175000
HU18,415000,1185000
HU19,415000,1195000
HU20,425000,1105000
HU21,425000,1115000
HU22,425000,1125000
HU23,425000,1135000
HU24,425000,1145000
HU25,425000,1155000
HU26,425000,1165000
HU27,425000,1175000
HU28,425000,1185000
HU29,425000,1195000
HU30,435000,1105000
HU31,435000,1115000
HU32,435000,1125000
HU33,435000,1135000
HU34,435000,1145000
HU35,435000,1155000
HU36,435000,1165000
HU37,435000,1175000
HU38,435000,1185000
HU39,435000,1195000
HU40,445000,1105000
HU41,445000,1115000
HU42,445000,1125000
HU43,445000,1135000
HU44,445000,1145000
HU45,445000,1155000
HU46,445000,1165000
HU47,445000,1175000
HU48,445000,1185000
HU49,445000,1195000
HU50,455000,1105000
HU51,455000,1115000
HU52,455000,1125000
HU53,455000,1135000
HU54,455000,1145000
HU55,455000,1155000
HU56,455000,1165000
HU57,455000,1175000
HU58,455000,1185000
HU59,455000,1195000
HU60,465000,1105000
HU61,465000,1115000
HU62,465000,1125000
HU63,465000,1135000
HU64,465000,1145000
HU65,465000,1155000
HU66,465000,1165000
HU67,465000,1175000
HU68,465000,1185000
HU69,465000,1195000
HU71,475000,1115000
HU72,475000,1125000
HU73,475000,1135000
HU74,475000,1145000
HU75,475000,1155000
HU76,475000,1165000
HU77,475000,1175000
HU78,475000,1185000
HU79,475000,1195000
HU81,485000,1115000
HU82,485000,1125000
HU83,485000,1135000
HU84,485000,1145000
HU85,485000,1155000
HU86,485000,1165000
HU87,485000,1175000
HU88,485000,1185000
HU89,485000,1195000
HU91,495000,1115000
HU92,495000,1125000
HU93,495000,1135000
HU94,495000,1145000
HU95,495000,1155000
HU96,495000,1165000
HU97,495000,1175000
HU98,495000,1185000
HU99,495000,1195000
HW50,155000,1005000
HW51,155000,1015000
HW52,155000,1025000
HW53,155000,1035000
HW54,155000,1045000
HW60,165000,1005000
HW61,165000,1015000
HW62,165000,1025000
HW63,165000,1035000
HW64,165000,1045000
HW70,175000,1005000
HW71,175000,1015000
HW72,175000,1025000
HW73,175000,1035000
HW74,175000,1045000
HW80,185000,1005000
HW81,185000,1015000
HW82,185000,1025000
HW83,185000,1035000
HW84,185000,1045000
HW90,195000,1005000
HW91,195000,1015000
HW92,195000,1025000
HW93,195000,1035000
HW94,195000,1045000
HX00,205000,1005000
HX01,205000,1015000
HX02,205000,1025000
HX03,205000,1035000
HX04,205000,1045000
HX10,215000,1005000
HX11,215000,1015000
HX12,215000,1025000
HX20,225000,1005000
HX21,225000,1015000
HX22,225000,1025000
HX30,235000,1005000
HX31,235000,1015000
HX32,235000,1025000
HX40,245000,1005000
HX41,245000,1015000
HX42,245000,1025000
HX50,255000,1005000
HX51,255000,1015000
HX52,255000,1025000
HX60,265000,1005000
HX61,265000,1015000
HX62,265000,1025000
HX70,275000,1005000
HX71,275000,1015000
HX72,275000,1025000
HX80,285000,1005000
HX81,285000,1015000
HX82,285000,1025000
HX83,285000,1035000
HX84,285000,1045000
HX90,295000,1005000
HX91,295000,1015000
HX92,295000,1025000
HX93,295000,1035000
HX94,295000,1045000
HX95,295000,1055000
HX96,295000,1065000
HY00,305000,1005000
HY01,305000,1015000
HY02,305000,1025000
HY03,305000,1035000
HY04,305000,1045000
HY05,305000,1055000
HY06,305000,1065000
HY10,315000,1005000
HY11,315000,1015000
HY12,315000,1025000
HY13,315000,1035000
HY14,315000,1045000
HY15,315000,1055000
HY16,315000,1065000
HY20,325000,1005000
HY21,325000,1015000
HY22,325000,1025000
HY23,325000,1035000
HY24,325000,1045000
HY25,325000,1055000
HY26,325000,1065000
HY30,335000,1005000
HY31,335000,1015000
HY32,335000,1025000
HY33,335000,1035000
HY34,335000,1045000
HY35,335000,1055000
HY36,335000,1065000
HY40,345000,1005000
HY41,345000,1015000
HY42,345000,1025000
HY43,345000,1035000
HY44,345000,1045000
HY45,345000,1055000
HY46,345000,1065000
HY50,355000,1005000
HY51,355000,1015000
HY52,355000,1025000
HY53,355000,1035000
HY54,355000,1045000
HY55,355000,1055000
HY56,355000,1065000
HY60,365000,1005000
HY61,365000,1015000
HY62,365000,1025000
HY63,365000,1035000
HY64,365000,1045000
HY65,365000,1055000
HY66,365000,1065000
HY70,375000,1005000
HY71,375000,1015000
HY72,375000,1025000
HY73,375000,1035000
HY74,375000,1045000
HY75,375000,1055000
HY76,375000,1065000
HY77,375000,1075000
HY78,375000,1085000
HY79,375000,1095000
HY80,385000,1005000
HY81,385000,1015000
HY82,385000,1025000
HY83,385000,1035000
HY84,385000,1045000
HY85,385000,1055000
HY86,385000,1065000
HY87,385000,1075000
HY88,385000,1085000
HY89,385000,1095000
HY92,395000,1025000
HY93,395000,1035000
HY94,395000,1045000
HY95,395000,1055000
HY96,395000,1065000
HY97,395000,1075000
HY98,395000,1085000
HY99,395000,1095000
HZ02,405000,1025000
HZ03,405000,1035000
HZ04,405000,1045000
HZ05,405000,1055000
HZ06,405000,1065000
HZ07,405000,1075000
HZ08,405000,1085000
HZ09,405000,1095000
HZ12,415000,1025000
HZ13,415000,1035000
HZ14,415000,1045000
HZ15,415000,1055000
HZ16,415000,1065000
HZ17,415000,1075000
HZ18,415000,1085000
HZ19,415000,1095000
HZ23,425000,1035000
HZ24,425000,1045000
HZ25,425000,1055000
HZ26,425000,1065000
HZ27,425000,1075000
HZ28,425000,1085000
HZ29,425000,1095000
HZ33,435000,1035000
HZ34,435000,1045000
HZ35,435000,1055000
HZ36,435000,1065000
HZ37,435000,1075000
HZ38,435000,1085000
HZ39,435000,1095000
HZ43,445000,1035000
HZ44,445000,1045000
HZ45,445000,1055000
HZ46,445000,1065000
HZ47,445000,1075000
HZ48,445000,1085000
HZ49,445000,1095000
HZ57,455000,1075000
HZ58,455000,1085000
HZ59,455000,1095000
HZ67,465000,1075000
HZ68,465000,1085000
HZ69,465000,1095000
IB00,-79386.24082,579987.9339
IB01,-78526.25071,589974.0345
IB10,-69400.51419,579128.4995
IB11,-68540.70508,589113.6711
IB20,-59415.71768,578269.2451
IB21,-58556.08739,588253.4876
IB30,-49431.85145,577410.1685
IB31,-48572.39785,587393.4817
IB32,-47712.01594,597376.6194
IB33,-46850.70785,607359.5817
IB34,-45988.47576,617342.3689
IB40,-39448.91568,576551.2676
IB41,-38589.63662,586533.6514
IB42,-37729.42906,596515.8617
IB43,-36868.29515,606497.8989
IB44,-36006.23704,616479.763
IB45,-35143.25518,626461.4543
IB50,-29466.91056,575692.5403
IB51,-28607.80389,585673.9944
IB52,-27747.76853,595655.2772
IB53,-26886.80664,605636.389
IB54,-26024.92037,615617.3299
IB60,-19485.83627,574833.9844
IB61,-18626.89984,584814.5086
IB62,-17767.03454,594794.8637
IB63,-16906.24253,604775.05
IB64,-16044.52593,614755.0675
IB65,-15181.88691,624734.9165
IB66,-14318.32762,634714.5972
IB67,-13453.8502,644694.1098
IB70,-9505.692983,573975.5978
IB71,-8646.924656,583955.1919
IB72,-7787.227274,593934.6192
IB73,-6926.60298,603913.8797
IB74,-6065.05392,613892.9736
IB75,-5202.582242,623871.9012
IB76,-4339.190096,633850.6626
IB77,-3474.879632,643829.258
IB80,473.519102,573117.3782
IB81,1332.12147,583096.0422
IB82,2191.653083,593074.5414
IB83,3052.111799,603052.8759
IB84,3913.495473,613031.0461
IB85,4775.801959,623009.052
IB86,5639.02911,632986.8939
IB87,6503.174775,642964.572
IB90,10451.7998,572259.3237
IB91,11310.23835,582237.0572
IB92,12169.60634,592214.6281
