SEGREF,easting,northing
WA_A,-202493,90442
WA_F,-182496,90175
WA_K,-162500,89909
WA_Q,-142504,89643
WA_V,-122509,89376
WV_C,-203289,30449
WV_D,-203024,50447
WV_E,-202759,70444
WV_H,-183292,30185
WV_I,-183027,50182
WV_J,-182762,70178
WV_M,-163295,29921
WV_N,-163031,49917
WV_P,-162766,69913
WV_S,-143300,29657
WV_T,-143035,49652
WV_U,-142770,69647
WV_X,-123305,29392
WV_Y,-123041,49387
WV_Z,-122775,69382
HP_A,410000,1210000
HP_B,410000,1230000
HP_F,430000,1210000
HP_G,430000,1230000
HP_K,450000,1210000
HP_L,450000,1230000
HP_Q,470000,1210000
HP_R,470000,1230000
HP_V,490000,1210000
HP_W,490000,1230000
HT_F,330000,1110000
HT_K,350000,1110000
HT_Q,370000,1110000
HT_V,390000,1110000
HT_W,390000,1130000
HT_X,390000,1150000
HT_Y,390000,1170000
HT_Z,390000,1190000
HU_A,410000,1110000
HU_B,410000,1130000
HU_C,410000,1150000
HU_D,410000,1170000
HU_E,410000,1190000
HU_F,430000,1110000
HU_G,430000,1130000
HU_H,430000,1150000
HU_I,430000,1170000
HU_J,430000,1190000
HU_K,450000,1110000
HU_L,450000,1130000
HU_M,450000,1150000
HU_N,450000,1170000
HU_P,450000,1190000
HU_Q,470000,1110000
HU_R,470000,1130000
HU_S,470000,1150000
HU_T,470000,1170000
HU_U,470000,1190000
HU_V,490000,1110000
HU_W,490000,1130000
HU_X,490000,1150000
HU_Y,490000,1170000
HU_Z,490000,1190000
HW_A,110000,1010000
HW_B,110000,1030000
HW_F,130000,1010000
HW_G,130000,1030000
HW_K,150000,1010000
HW_L,150000,1030000
HW_Q,170000,1010000
HW_R,170000,1030000
HW_V,190000,1010000
HW_W,190000,1030000
HX_A,210000,1010000
HX_B,210000,1030000
HX_F,230000,1010000
HX_G,230000,1030000
HX_K,250000,1010000
HX_L,250000,1030000
HX_Q,270000,1010000
HX_R,270000,1030000
HX_V,290000,1010000
HX_W,290000,1030000
HY_A,310000,1010000
HY_B,310000,1030000
HY_F,330000,1010000
HY_G,330000,1030000
HY_H,330000,1050000
HY_I,330000,1070000
HY_J,330000,1090000
HY_K,350000,1010000
HY_L,350000,1030000
HY_M,350000,1050000
HY_N,350000,1070000
HY_P,350000,1090000
HY_Q,370000,1010000
HY_R,370000,1030000
HY_S,370000,1050000
HY_T,370000,1070000
HY_U,370000,1090000
HY_V,390000,1010000
HY_W,390000,1030000
HY_X,390000,1050000
HY_Y,390000,1070000
HY_Z,390000,1090000
HZ_C,410000,1050000
HZ_D,410000,1070000
HZ_E,410000,1090000
HZ_H,430000,1050000
HZ_I,430000,1070000
HZ_J,430000,1090000
HZ_N,450000,1070000
HZ_P,450000,1090000
HZ_U,470000,1090000
HZ_Z,490000,1090000
NA_A,10000,910000
NA_B,10000,930000
NA_C,10000,950000
NA_D,10000,970000
NA_E,10000,990000
NA_F,30000,910000
NA_G,30000,930000
NA_H,30000,950000
NA_I,30000,970000
NA_J,30000,990000
NA_K,50000,910000
NA_L,50000,930000
NA_M,50000,950000
NA_N,50000,970000
NA_P,50000,990000
NA_Q,70000,910000
NA_R,70000,930000
NA_S,70000,950000
NA_T,70000,970000
NA_U,70000,990000
NA_V,90000,910000
NA_W,90000,930000
NA_X,90000,950000
NA_Y,90000,970000
NA_Z,90000,990000
NB_A,110000,910000
NB_B,110000,930000
NB_C,110000,950000
NB_D,110000,970000
NB_E,110000,990000
NB_F,130000,910000
NB_G,130000,930000
NB_H,130000,950000
NB_I,130000,970000
NB_J,130000,990000
NB_K,150000,910000
NB_L,150000,930000
NB_M,150000,950000
NB_N,150000,970000
NB_P,150000,990000
NB_Q,170000,910000
NB_R,170000,930000
NB_S,170000,950000
NB_T,170000,970000
NB_U,170000,990000
NB_V,190000,910000
NB_W,190000,930000
NB_X,190000,950000
NB_Y,190000,970000
NB_Z,190000,990000
NC_A,210000,910000
NC_B,210000,930000
NC_C,210000,950000
NC_D,210000,970000
NC_E,210000,990000
NC_F,230000,910000
NC_G,230000,930000
NC_H,230000,950000
NC_I,230000,970000
NC_J,230000,990000
NC_K,250000,910000
NC_L,250000,930000
NC_M,250000,950000
NC_N,250000,970000
NC_P,250000,990000
NC_Q,270000,910000
NC_R,270000,930000
NC_S,270000,950000
NC_T,270000,970000
NC_U,270000,990000
NC_V,290000,910000
NC_W,290000,930000
NC_X,290000,950000
NC_Y,290000,970000
NC_Z,290000,990000
ND_A,310000,910000
ND_B,310000,930000
ND_C,310000,950000
ND_D,310000,970000
ND_E,310000,990000
ND_F,330000,910000
ND_G,330000,930000
ND_H,330000,950000
ND_I,330000,970000
ND_J,330000,990000
ND_K,350000,910000
ND_L,350000,930000
ND_M,350000,950000
ND_N,350000,970000
ND_P,350000,990000
ND_Q,370000,910000
ND_R,370000,930000
ND_S,370000,950000
ND_T,370000,970000
ND_U,370000,990000
ND_V,390000,910000
ND_W,390000,930000
ND_X,390000,950000
ND_Y,390000,970000
ND_Z,390000,990000
NF_E,10000,890000
NF_F,30000,810000
NF_G,30000,830000
NF_H,30000,850000
NF_I,30000,870000
NF_J,30000,890000
NF_K,50000,810000
NF_L,50000,830000
NF_M,50000,850000
NF_N,50000,870000
NF_P,50000,890000
NF_Q,70000,810000
NF_R,70000,830000
NF_S,70000,850000
NF_T,70000,870000
NF_U,70000,890000
NF_V,90000,810000
NF_W,90000,830000
NF_X,90000,850000
NF_Y,90000,870000
NF_Z,90000,890000
NG_A,110000,810000
NG_B,110000,830000
NG_C,110000,850000
NG_D,110000,870000
NG_E,110000,890000
NG_F,130000,810000
NG_G,130000,830000
NG_H,130000,850000
NG_I,130000,870000
NG_J,130000,890000
NG_K,150000,810000
NG_L,150000,830000
NG_M,150000,850000
NG_N,150000,870000
NG_P,150000,890000
NG_Q,170000,810000
NG_R,170000,830000
NG_S,170000,850000
NG_T,170000,870000
NG_U,170000,890000
NG_V,190000,810000
NG_W,190000,830000
NG_X,190000,850000
NG_Y,190000,870000
NG_Z,190000,890000
NH_A,210000,810000
NH_B,210000,830000
NH_C,210000,850000
NH_D,210000,870000
NH_E,210000,890000
NH_F,230000,810000
NH_G,230000,830000
NH_H,230000,850000
NH_I,230000,870000
NH_J,230000,890000
NH_K,250000,810000
NH_L,250000,830000
NH_M,250000,850000
NH_N,250000,870000
NH_P,250000,890000
NH_Q,270000,810000
NH_R,270000,830000
NH_S,270000,850000
NH_T,270000,870000
NH_U,270000,890000
NH_V,290000,810000
NH_W,290000,830000
NH_X,290000,850000
NH_Y,290000,870000
NH_Z,290000,890000
NJ_A,310000,810000
NJ_B,310000,830000
NJ_C,310000,850000
NJ_D,310000,870000
NJ_E,310000,890000
NJ_F,330000,810000
NJ_G,330000,830000
NJ_H,330000,850000
NJ_I,330000,870000
NJ_J,330000,890000
NJ_K,350000,810000
NJ_L,350000,830000
NJ_M,350000,850000
NJ_N,350000,870000
NJ_P,350000,890000
NJ_Q,370000,810000
NJ_R,370000,830000
NJ_S,370000,850000
NJ_T,370000,870000
