quadref,easting,northing
IBSE,-7791,593935
ICNW,46403,639507
ICNE,96267,635189
ICSE,91956,585341
ICSW,42094,589636
IDSW,141795,581050
IDNW,146109,630883
IFSE,-116204,502649
IGNE,-12080,544036
IGNW,-61993,548315
IGSE,-16346,494133
IGSW,-66263,498389
IHNE,87675,535489
IHNW,37809,539760
IHSE,83417,485633
IHSW,33547,489881
IJNE,187336,526957
IJNW,137517,531221
IJSE,183085,477148
IJSW,133263,481389
ILNE,-120455,452694
ILNW,-170424,456936
ILSE,-124682,402735
IMNE,-20588,444226
IMNW,-70509,448458
IMSE,-24806,394314
IMSW,-74732,398522
INNE,79183,435774
INNW,29309,439998
INSE,74972,385910
INSW,25095,390110
IONW,129032,431553
IOSW,124825,381714
IQNE,-128885,352770
IQSE,-133063,302801
IQSW,-183047,306970
IRNE,-29000,344398
IRNW,-78930,348582
IRSE,-33169,294478
IRSW,-83104,298638
ISNE,70787,336043
ISNW,20906,340219
ISSE,66625,286173
ISSW,16740,290324
ITNW,120643,331872
ITSW,116485,282026
IVNE,-137217,252827
IVNW,-187206,256971
IVSE,-141346,202848
IVSW,-191340,206967
IWNE,-37314,244554
IWNW,-87253,248688
IWSE,-41434,194626
IWSW,-91377,198735
IXNE,62489,236298
IXNW,12600,240424
HPSE,475000,1225000
HPSW,425000,1225000
HTSE,375000,1125000
HUNE,475000,1175000
HUNW,425000,1175000
HUSE,475000,1125000
HUSW,425000,1125000
HWSE,175000,1025000
HXSE,275000,1025000
HYNE,375000,1075000
HYNW,325000,1075000
HYSE,375000,1025000
HYSW,325000,1025000
HZNW,425000,1075000
NASE,75000,925000
NASW,25000,925000
NBNE,175000,975000
NBNW,125000,975000
NBSE,175000,925000
NBSW,125000,925000
NCNE,275000,975000
NCNW,225000,975000
NCSE,275000,925000
NCSW,225000,925000
NDNE,375000,975000
NDNW,325000,975000
NDSW,325000,925000
NFNE,75000,875000
NFNW,25000,875000
NFSE,75000,825000
NGNE,175000,875000
NGNW,125000,875000
NGSE,175000,825000
NGSW,125000,825000
NHNE,275000,875000
NHNW,225000,875000
NHSE,275000,825000
NHSW,225000,825000
NJNE,375000,875000
NJNW,325000,875000
NJSE,375000,825000
NJSW,325000,825000
NKNW,425000,875000
NKSW,425000,825000
NLNE,75000,775000
NLSE,75000,725000
NMNE,175000,775000
NMNW,125000,775000
NMSE,175000,725000
NMSW,125000,725000
NNNE,275000,775000
NNNW,225000,775000
NNSE,275000,725000
NNSW,225000,725000
NONE,375000,775000
NONW,325000,775000
NOSE,375000,725000
NOSW,325000,725000
NRNE,175000,675000
NRNW,125000,675000
NRSE,175000,625000
NRSW,125000,625000
NSNE,275000,675000
NSNW,225000,675000
NSSE,275000,625000
NSSW,225000,625000
NTNE,375000,675000
NTNW,325000,675000
NTSE,375000,625000
NTSW,325000,625000
NUNW,425000,675000
NUSW,425000,625000
NWNE,175000,575000
NXNE,275000,575000
NXNW,225000,575000
NXSE,275000,525000
NXSW,225000,525000
NYNE,375000,575000
NYNW,325000,575000
NYSE,375000,525000
NYSW,325000,525000
NZNW,425000,575000
NZSE,475000,525000
NZSW,425000,525000
SCNW,225000,475000
SDNE,375000,475000
SDNW,325000,475000
SDSE,375000,425000
SDSW,325000,425000
SENE,475000,475000
SENW,425000,475000
SESE,475000,425000
SESW,425000,425000
SHNE,275000,375000
SHNW,225000,375000
SHSE,275000,325000
SHSW,225000,325000
SJNE,375000,375000
SJNW,325000,375000
SJSE,375000,325000
SJSW,325000,325000
SKNE,475000,375000
SKNW,425000,375000
SKSE,475000,325000
SKSW,425000,325000
SMSE,175000,225000
SMSW,125000,225000
SNNE,275000,275000
SNNW,225000,275000
SNSE,275000,225000
SNSW,225000,225000
SONE,375000,275000
SONW,325000,275000
SOSE,375000,225000
SOSW,325000,225000
SPNE,475000,275000
SPNW,425000,275000
SPSE,475000,225000
SPSW,425000,225000
SRNE,175000,175000
SSNE,275000,175000
SSNW,225000,175000
SSSE,275000,125000
SSSW,225000,125000
STNE,375000,175000
STNW,325000,175000
STSE,375000,125000
STSW,325000,125000
SUNE,475000,175000
SUNW,425000,175000
SUSE,475000,125000
SUSW,425000,125000
SVSE,75000,25000
SWNE,175000,75000
SWSE,175000,25000
SWSW,125000,25000
SXNE,275000,75000
SXNW,225000,75000
SXSE,275000,25000
SXSW,225000,25000
SYNE,375000,75000
SYNW,325000,75000
SZNE,475000,75000
SZNW,425000,75000
TANW,525000,475000
TASW,525000,425000
TFNE,575000,375000
TFNW,525000,375000
TFSE,575000,325000
TFSW,525000,325000
TGSE,675000,325000
TGSW,625000,325000
TLNE,575000,275000
TLNW,525000,275000
TLSE,575000,225000
TLSW,525000,225000
TMNE,675000,275000
TMNW,625000,275000
TMSW,625000,225000
TQNE,575000,175000
TQNW,525000,175000
TQSE,575000,125000
TQSW,525000,125000
TRNW,625000,175000
TRSW,625000,125000
TVNE,575000,75000
TVNW,525000,75000
CHAN,-159895,49892
