HUNDREF,easting,northing
IB,-30592,621039
IC,69174,612419
ID,168848,603813
IF,-139051,529763
IG,-39175,521218
IH,60608,512691
IJ,160296,504179
IL,-147558,429829
IM,-47663,421380
IN,52136,412948
IO,151838,404532
IQ,-155969,329876
IR,-56055,321524
IS,43760,313190
IT,143477,304871
IV,-164281,229903
IW,-64349,221651
IX,35483,213416
HP,450000,1250000
HT,350000,1150000
HU,450000,1150000
HW,150000,1050000
HX,250000,1050000
HY,350000,1050000
HZ,450000,1050000
NA,50000,950000
NB,150000,950000
NC,250000,950000
ND,350000,950000
NF,50000,850000
NG,150000,850000
NH,250000,850000
NJ,350000,850000
NK,450000,850000
NL,50000,750000
NM,150000,750000
NN,250000,750000
NO,350000,750000
NS,250000,650000
NT,350000,650000
NU,450000,650000
NX,250000,550000
NY,350000,550000
NZ,450000,550000
SC,250000,450000
SD,350000,450000
SE,450000,450000
SH,250000,350000
SJ,350000,350000
SK,450000,350000
SN,250000,250000
SO,350000,250000
SP,450000,250000
SR,150000,150000
SS,250000,150000
ST,350000,150000
SU,450000,150000
SV,50000,50000
SW,150000,50000
SX,250000,50000
SY,350000,50000
SZ,450000,50000
TA,550000,450000
TF,550000,350000
TG,650000,350000
TL,550000,250000
TM,650000,250000
TQ,550000,150000
TR,650000,150000
TV,550000,50000
NR,150000,650000
NW,150000,550000
SM,150000,250000
CH,-159895,49892
