tenkm,area
HP40,12.89
HP50,56.03
HP51,12.41
HP60,36.23
HP61,42.39
HP62,0.01
HT93,9.65
HT94,3.51
HU06,0.03
HU14,1.51
HU15,23.94
HU16,7.26
HU24,43.78
HU25,79.99
HU26,3.24
HU27,27.23
HU28,29.65
HU30,1.26
HU31,37.48
HU32,26.6
HU33,19.8
HU34,49.03
HU35,90.43
HU36,66.25
HU37,78.05
HU38,67.63
HU39,18.79
HU40,1.43
HU41,9.04
HU42,33.83
HU43,47.6
HU44,68.31
HU45,76.81
HU46,80.7
HU47,48.22
HU48,52.62
HU49,43.78
HU53,8.21
HU54,12.76
HU55,1.45
HU56,25.6
HU57,8.23
HU58,37.45
HU59,50.79
HU66,1.17
HU67,2.73
HU68,8.22
HU69,27.15
HU77,0.05
HW62,0.005
HW63,0.12
HW73,0.005
HW83,1.25
HX51,0.02
HX62,0.17
HY10,8.45
HY20,49.91
HY21,78.35
HY22,63.46
HY23,0.14
HY30,54.35
HY31,91.3
HY32,84.62
HY33,16.14
HY34,0.8
HY35,0.06
HY40,55.07
HY41,43.2
HY42,30.47
HY43,20.42
HY44,43.48
HY45,12.12
HY50,56.9
HY51,18.74
HY52,9.42
HY53,30.45
HY54,5.13
HY55,2.26
HY60,0.99
HY61,1.07
HY62,38.32
HY63,21.47
HY64,26.27
HY73,1.69
HY74,18.56
HY75,9.54
HZ16,0.14
HZ17,0.41
HZ26,0.28
HZ27,7.26
IB60,0.25
IB61,18.98
IB70,55.76
IB71,72.06
IB72,18.33
IB73,0.35
IB80,98.53
IB81,100.31
IB82,98.92
IB83,35.09
IB84,3.51
IB90,100.29
IB91,100.29
IB92,100.29
IB93,53.18
IB94,1
IC00,100.27
IC01,100.27
IC02,100.27
IC03,72.08
IC04,8.18
IC10,100.26
IC11,100.13
IC12,98.43
IC13,78.52
IC14,34.99
IC20,100.24
IC21,80.6
IC22,74.96
IC23,74.22
IC24,35.33
IC30,100.22
IC31,99.73
IC32,78.04
IC33,78.98
IC34,88.34
IC35,3.47
IC40,100.2
IC41,97.89
IC42,89.25
IC43,100.19
IC44,93.09
IC45,68.18
IC46,0.61
IC50,100.18
IC51,100.18
IC52,29.37
IC53,58.82
IC54,93.91
IC55,16.87
IC60,100.16
IC61,100.16
IC62,81.44
IC63,40.52
IC64,47.95
IC70,100.14
IC71,100.14
IC72,100.14
IC73,61.13
IC80,100.12
IC81,100.12
IC82,100.12
IC83,91.69
IC84,3.82
IC90,100.1
IC91,100.1
IC92,100.1
IC93,100.1
IC94,38.38
ID00,100.09
ID01,100.08
ID02,100.08
ID03,100.08
ID04,42.66
ID05,0.84
ID10,100.07
ID11,100.07
ID12,100.06
ID13,100.06
ID14,25.79
ID15,11.29
ID20,100.05
ID21,97.4
ID22,73.84
ID23,53.98
ID24,4.39
ID30,89.46
ID31,25.76
ID32,0.82
ID40,17.51
ID41,0.07
IF41,0.05
IF50,23.59
IF51,1.37
IF52,4.34
IF60,68.48
IF61,9.59
IF62,30.43
IF63,46.57
IF64,0.98
IF70,56.45
IF71,56.46
IF72,66.58
IF73,58.11
IF74,3.33
IF80,96.32
IF81,100.25
IF82,100.27
IF83,92.74
IF84,40.96
IF90,100.5
IF91,100.5
IF92,100.5
IF93,100.5
IF94,25.3
IG00,100.48
IG01,100.48
IG02,100.48
IG03,100.24
IG04,13.06
IG10,100.46
IG11,100.46
IG12,100.46
IG13,94.82
IG14,11.09
IG20,100.44
IG21,100.33
IG22,87.88
IG23,14.01
IG30,100.43
IG31,100.42
IG32,100.42
IG33,82.58
IG40,100.41
IG41,100.4
IG42,100.4
IG43,56.53
IG47,0.69
IG48,4.88
IG50,100.39
IG51,100.38
IG52,100.38
IG53,53.04
IG54,13.4
IG55,0.95
IG57,31.06
IG58,85.38
IG59,6.14
IG60,100.37
IG61,100.37
IG62,98.94
IG63,66.39
IG64,78.27
IG65,15.82
IG67,53.04
IG68,100.31
IG69,39.95
IG70,100.35
IG71,100.35
IG72,100.34
IG73,100.34
IG74,100.34
IG75,75.76
IG76,1.07
