"MASTER_TAXON_ID","SCIENTIFIC_NAME","ENGLISH_NAME","TAXON_RANK_ID","TAXON_RANK_NAME","SORT_ORDER","ALT_INT_NAME","CBC_CODE"
0,"Unknown species","Unknown species",140,"n/a",10,"",""
50001,"Aves","",20,"Class",20,"",""
50197,"Struthioniformes","",40,"Order",30,"",""
50198,"Struthionidae","Ostriches",60,"Family",40,"",""
50199,"Struthio","",80,"Genus",50,"",""
1350,"Struthio camelus","Common Ostrich",100,"Species",60,"",""
50200,"Struthio camelus syriacus","",110,"Subspecies",70,"",""
50201,"Struthio camelus camelus","",110,"Subspecies",80,"",""
50202,"Struthio camelus massaicus","",110,"Subspecies",90,"",""
50203,"Struthio camelus australis","",110,"Subspecies",100,"",""
50204,"Struthio molybdophanes","Somali Ostrich",100,"Species",110,"",""
50205,"Rheiformes","",40,"Order",120,"",""
50206,"Rheidae","Rheas",60,"Family",130,"",""
50207,"Rhea","",80,"Genus",140,"",""
50208,"Rhea americana","Greater Rhea",100,"Species",150,"",""
50209,"Rhea americana americana","",110,"Subspecies",160,"",""
50210,"Rhea americana intermedia","",110,"Subspecies",170,"",""
50211,"Rhea americana nobilis","",110,"Subspecies",180,"",""
50212,"Rhea americana araneipes","",110,"Subspecies",190,"",""
50213,"Rhea americana albescens","",110,"Subspecies",200,"",""
50214,"Rhea pennata","Lesser Rhea",100,"Species",210,"",""
50215,"Rhea pennata garleppi","",110,"Subspecies",220,"",""
50216,"Rhea pennata tarapacensis","",110,"Subspecies",230,"",""
50217,"Rhea pennata pennata","",110,"Subspecies",240,"",""
50232,"Apterygiformes","",40,"Order",250,"",""
50233,"Apterygidae","Kiwis",60,"Family",260,"",""
50234,"Apteryx","",80,"Genus",270,"",""
83441,"Apteryx australis/mantelli","Southern/North Island Brown Kiwi",90,"Subgenus (non-standard)",280,"",""
50235,"Apteryx australis","Southern Brown Kiwi",100,"Species",290,"",""
50236,"Apteryx australis australis","",110,"Subspecies",300,"",""
50237,"Apteryx australis lawryi","",110,"Subspecies",310,"",""
50238,"Apteryx mantelli","North Island Brown Kiwi",100,"Species",320,"",""
50239,"Apteryx rowi","Okarito Kiwi",100,"Species",330,"",""
50240,"Apteryx owenii","Little Spotted Kiwi",100,"Species",340,"",""
50241,"Apteryx haastii","Great Spotted Kiwi",100,"Species",350,"",""
50218,"Casuariiformes","",40,"Order",360,"",""
50219,"Casuariidae","Cassowaries and Emu",60,"Family",370,"",""
50220,"Casuarius","",80,"Genus",380,"",""
50221,"Casuarius casuarius","Southern Cassowary",100,"Species",390,"",""
50222,"Casuarius bennetti","Dwarf Cassowary",100,"Species",400,"",""
84312,"Casuarius bennetti westermanni","",110,"Subspecies",410,"",""
84313,"Casuarius bennetti bennetti","",110,"Subspecies",420,"",""
50223,"Casuarius unappendiculatus","Northern Cassowary",100,"Species",430,"",""
50225,"Dromaius","",80,"Genus",440,"",""
50226,"Dromaius novaehollandiae","Emu",100,"Species",450,"",""
50228,"Dromaius novaehollandiae novaehollandiae","",110,"Subspecies",460,"",""
50229,"Dromaius novaehollandiae diemenensis","",110,"Subspecies",470,"",""
50230,"Dromaius novaehollandiae minor","",110,"Subspecies",480,"",""
50231,"Dromaius novaehollandiae baudinianus","",110,"Subspecies",490,"",""
50013,"Tinamiformes","",40,"Order",500,"",""
50014,"Tinamidae","Tinamous",60,"Family",510,"",""
50015,"Tinamus","",80,"Genus",520,"",""
50016,"Tinamus tao","Grey Tinamou",100,"Species",530,"",""
50017,"Tinamus tao larensis","",110,"Subspecies",540,"",""
50018,"Tinamus tao septentrionalis","",110,"Subspecies",550,"",""
50019,"Tinamus tao tao","",110,"Subspecies",560,"",""
