MASTER_TAXON_ID,ALTERNATIVE_SCI_NAME,CURRENT_SCI_NAME,SORT_ORDER_IOC
1020,Chen canagica,Anser canagicus,3000
1019,Chen rossii,Anser rossii,3010
54,Chen caerulescens,Anser caerulescens,3020
1279,Anser rossicus,Anser serrirostris,3200
1452,Cygnus melanocoryphus,Cygnus melancoryphus,3370
47,Cygnus bewickii,Cygnus columbianus,3400
51367,Alopochen mauritianus,Alopochen mauritiana,3770
51388,Cairina scutulata,Asarcornis scutulata,4090
67,Anas formosa,Sibirionetta formosa,4360
72,Anas querquedula,Spatula querquedula,4380
51474,Anas hottentota,Spatula hottentota,4390
51473,Anas puna,Spatula puna,4400
1340,Anas versicolor,Spatula versicolor,4410
1438,Anas platalea,Spatula platalea,4440
1341,Anas cyanoptera,Spatula cyanoptera,4450
73,Anas discors,Spatula discors,4510
51442,Anas smithii,Spatula smithii,4520
1437,Anas rhynchotis,Spatula rhynchotis,4530
74,Anas clypeata,Spatula clypeata,4560
66,Anas strepera,Mareca strepera,4580
1023,Anas falcata,Mareca falcata,4610
64,Anas penelope,Mareca penelope,4620
1157,Anas sibilatrix,Mareca sibilatrix,4630
65,Anas americana,Mareca americana,4640
51412,Anas marecula,Mareca marecula,4650
92,Mergus cucullatus,Lophodytes cucullatus,5950
50299,Megapodius affinis,Megapodius decollatus,6760
50455,Francolinus nahani,Ptilopachus nahani,8360
50628,Bonasa bonasia,Tetrastes bonasia,10140
50640,Bonasa sewerzowi,Tetrastes sewerzowi,10260
50644,Dendragapus falcipennis,Falcipennis falcipennis,10300
50645,Dendragapus canadensis,Falcipennis canadensis,10310
50663,Tetrao parvirostris,Tetrao urogalloides,10480
127,Tetrao tetrix,Lyrurus tetrix,10520
50673,Tetrao mlokosiewiczi,Lyrurus mlokosiewiczi,10590
126,Lagopus mutus,Lagopus muta,10950
50843,Francolinus lathami,Peliperdix lathami,12270
50846,Francolinus coqui,Peliperdix coqui,12300
50851,Francolinus albogularis,Peliperdix albogularis,12350
50855,Francolinus schlegelii,Peliperdix schlegelii,12390
50857,Francolinus streptophorus,Scleroptila streptophora,12410
50858,Francolinus africanus,Scleroptila afra,12420
50859,Francolinus levaillantii,Scleroptila levaillantii,12430
50863,Francolinus finschi,Scleroptila finschi,12470
50864,Francolinus shelleyi,Scleroptila shelleyi,12480
50870,Francolinus psilolaemus,Scleroptila psilolaema,12530
50873,Francolinus levaillantoides,Scleroptila gutturalis,12560
50881,Francolinus sephaena,Dendroperdix sephaena,12640
50888,Francolinus squamatus,Pternistis squamatus,12710
50895,Francolinus ahantensis,Pternistis ahantensis,12780
50898,Francolinus griseostriatus,Pternistis griseostriatus,12810
50899,Francolinus hildebrandti,Pternistis hildebrandti,12820
50903,Francolinus bicalcaratus,Pternistis bicalcaratus,12860
50908,Francolinus icterorhynchus,Pternistis icterorhynchus,12900
50909,Francolinus clappertoni,Pternistis clappertoni,12910
50916,Francolinus harwoodi,Pternistis harwoodi,12980
50917,Francolinus swierstrai,Pternistis swierstrai,12990
50918,Francolinus camerunensis,Pternistis camerunensis,13000
50919,Francolinus nobilis,Pternistis nobilis,13010
50920,Francolinus jacksoni,Pternistis jacksoni,13020
50921,Francolinus castaneicollis,Pternistis castaneicollis,13030
50926,Francolinus ochropectus,Pternistis ochropectus,13080
50927,Francolinus erckelii,Pternistis erckelii,13090
50928,Francolinus hartlaubi,Pternistis hartlaubi,13100
50932,Francolinus adspersus,Pternistis adspersus,13110
50935,Francolinus capensis,Pternistis capensis,13140
50936,Francolinus natalensis,Pternistis natalensis,13150
50939,Francolinus leucoscepus,Pternistis leucoscepus,13180
50940,Francolinus rufopictus,Pternistis rufopictus,13190
50941,Francolinus afer,Pternistis afer,13200
