"MASTER_TAXON_ID","ALTERNATIVE_SCI_NAME","ALTERNATIVE_RANK_ID","ALTERNATIVE_RANK_NAME","CURRENT_SCI_NAME","CURRENT_RANK_ID","CURRENT_RANK_NAME","SORT_ORDER_IOC","NUMBER_OF_LISTS"
50230,"Dromaius ater",100,"Species","Dromaius novaehollandiae minor",110,"Subspecies",470,1
50230,"Dromaius novaehollandiae ater",110,"Subspecies","Dromaius novaehollandiae minor",110,"Subspecies",470,1
50231,"Dromaius baudinianus",100,"Species","Dromaius novaehollandiae baudinianus",110,"Subspecies",480,1
50178,"Nothura chacoensis",100,"Species","Nothura maculosa chacoensis",110,"Subspecies",2110,3
50294,"Megapodius forsteni forsteni",110,"Subspecies","Megapodius freycinet forsteni",110,"Subspecies",2770,1
50295,"Megapodius forsteni buruensis",110,"Subspecies","Megapodius freycinet buruensis",110,"Subspecies",2780,1
50299,"Megapodius affinis",100,"Species","Megapodius decollatus",100,"Species",2820,1
50455,"Francolinus nahani",100,"Species","Ptilopachus nahani",100,"Species",4430,1
50512,"Colinus virginianus coyolcos",110,"Subspecies","Colinus virginianus coyoleos",110,"Subspecies",5060,1
50628,"Bonasa bonasia",100,"Species","Tetrastes bonasia",100,"Species",6210,2
50634,"Tetrastes bonasia griseonotus",110,"Subspecies","Tetrastes bonasia griseonota",110,"Subspecies",6270,1
50640,"Bonasa sewerzowi",100,"Species","Tetrastes sewerzowi",100,"Species",6330,1
50644,"Dendragapus falcipennis",100,"Species","Falcipennis falcipennis",100,"Species",6370,1
50645,"Dendragapus canadensis",100,"Species","Falcipennis canadensis",100,"Species",6380,1
50663,"Tetrao parvirostris",100,"Species","Tetrao urogalloides",100,"Species",6550,2
50664,"Tetrao parvirostris parvirostris",110,"Subspecies","Tetrao urogalloides urogalloides",110,"Subspecies",6560,1
50665,"Tetrao parvirostris kamtschaticus",110,"Subspecies","Tetrao urogalloides kamtschaticus",110,"Subspecies",6570,1
127,"Tetrao tetrix",100,"Species","Lyrurus tetrix",100,"Species",6590,8
50667,"Tetrao tetrix britannicus",110,"Subspecies","Lyrurus tetrix britannicus",110,"Subspecies",6600,1
50673,"Tetrao mlokosiewiczi",100,"Species","Lyrurus mlokosiewiczi",100,"Species",6660,3
126,"Lagopus mutus",100,"Species","Lagopus muta",100,"Species",7020,2
50709,"Lagopus mutus mutus",110,"Subspecies","Lagopus muta muta",110,"Subspecies",7030,1
50710,"Lagopus mutus millaisi",110,"Subspecies","Lagopus muta millaisi",110,"Subspecies",7040,1
50711,"Lagopus mutus helveticus",110,"Subspecies","Lagopus muta helvetica",110,"Subspecies",7050,1
50712,"Lagopus mutus pyrenaicus",110,"Subspecies","Lagopus muta pyrenaica",110,"Subspecies",7060,1
50734,"Lagopus lagopus scoticus",110,"Subspecies","Lagopus lagopus scotica",110,"Subspecies",7270,1
50737,"Lagopus lagopus rossicus",110,"Subspecies","Lagopus lagopus rossica",110,"Subspecies",7300,1
50843,"Francolinus lathami",100,"Species","Peliperdix lathami",100,"Species",8340,2
50846,"Francolinus coqui",100,"Species","Peliperdix coqui",100,"Species",8370,2
50851,"Francolinus albogularis",100,"Species","Peliperdix albogularis",100,"Species",8420,2
50855,"Francolinus schlegelii",100,"Species","Peliperdix schlegelii",100,"Species",8460,1
50857,"Francolinus streptophorus",100,"Species","Scleroptila streptophora",100,"Species",8480,1
50858,"Francolinus africanus",100,"Species","Scleroptila afra",100,"Species",8490,1
50859,"Francolinus levaillantii",100,"Species","Scleroptila levaillantii",100,"Species",8500,1
50863,"Francolinus finschi",100,"Species","Scleroptila finschi",100,"Species",8540,1
50864,"Francolinus shelleyi",100,"Species","Scleroptila shelleyi",100,"Species",8550,1
50870,"Francolinus psilolaemus",100,"Species","Scleroptila psilolaema",100,"Species",8600,1
50873,"Francolinus levaillantoides",100,"Species","Scleroptila gutturalis",100,"Species",8630,1
50881,"Francolinus sephaena",100,"Species","Dendroperdix sephaena",100,"Species",8710,1
50928,"Francolinus hartlaubi",100,"Species","Pternistis hartlaubi",100,"Species",8780,1
50918,"Francolinus camerunensis",100,"Species","Pternistis camerunensis",100,"Species",8790,1
50919,"Francolinus nobilis",100,"Species","Pternistis nobilis",100,"Species",8800,1
50917,"Francolinus swierstrai",100,"Species","Pternistis swierstrai",100,"Species",8810,1
50927,"Francolinus erckelii",100,"Species","Pternistis erckelii",100,"Species",8820,2
50926,"Francolinus ochropectus",100,"Species","Pternistis ochropectus",100,"Species",8830,1
50921,"Francolinus castaneicollis",100,"Species","Pternistis castaneicollis",100,"Species",8840,1
50925,"Pternistis castaneicollis atrifrons",110,"Subspecies","Pternistis atrifrons",100,"Species",8850,1
50920,"Francolinus jacksoni",100,"Species","Pternistis jacksoni",100,"Species",8860,1
50888,"Francolinus squamatus",100,"Species","Pternistis squamatus",100,"Species",8870,2
50895,"Francolinus ahantensis",100,"Species","Pternistis ahantensis",100,"Species",8910,2
50898,"Francolinus griseostriatus",100,"Species","Pternistis griseostriatus",100,"Species",8920,1
50899,"Francolinus hildebrandti",100,"Species","Pternistis hildebrandti",100,"Species",8930,1
50936,"Francolinus natalensis",100,"Species","Pternistis natalensis",100,"Species",8960,1
50932,"Francolinus adspersus",100,"Species","Pternistis adspersus",100,"Species",8970,1
50935,"Francolinus capensis",100,"Species","Pternistis capensis",100,"Species",8980,1
50908,"Francolinus icterorhynchus",100,"Species","Pternistis icterorhynchus",100,"Species",8990,1
50903,"Francolinus bicalcaratus",100,"Species","Pternistis bicalcaratus",100,"Species",9000,3
50907,"Pternistis bicalcaratus ogilviegranti",110,"Subspecies","Pternistis bicalcaratus adamauae",110,"Subspecies",9010,3
50916,"Francolinus harwoodi",100,"Species","Pternistis harwoodi",100,"Species",9040,1
50909,"Francolinus clappertoni",100,"Species","Pternistis clappertoni",100,"Species",9050,2
50939,"Francolinus leucoscepus",100,"Species","Pternistis leucoscepus",100,"Species",9080,1
